3,1,12,0
7,2,6,34
10,6,4,70
4,10,3,104
8,3,1,140
9,7,1,170
8,8,4,203
9,2,2,222
1,8,3,257
10,1,2,285
10,2,9,324
1,9,7,351
2,9,4,385
7,10,2,397
8,9,8,422
10,10,2,446
10,6,7,447
8,1,8,464
3,3,6,496
4,8,1,534
2,6,4,564
8,8,12,588
5,7,1,614
9,2,1,640
7,5,12,665
2,10,3,700
4,9,1,736
4,4,2,748
2,9,12,775
7,9,1,812
3,10,6,833
1,7,11,866
5,3,1,883
1,6,3,926
2,9,1,961
1,2,3,990
9,2,13,1023
2,1,5,1054
5,7,1,1094
3,5,2,1111
3,8,1,1130
4,8,5,1148
3,8,6,1183
3,2,1,1234
6,2,5,1259
3,2,2,1284
8,2,2,1315
10,3,11,1344
3,9,6,1362
2,1,4,1383
10,4,3,1416
9,2,1,1451
3,7,3,1475
8,9,1,1517
2,9,6,1544
3,9,4,1554
3,3,3,1595
7,2,1,1627
7,2,3,1653
3,8,2,1687
4,7,4,1721
2,8,2,1736
8,3,1,1750
3,9,15,1781
1,9,11,1822
5,1,8,1869
2,7,2,1875
2,8,6,1916
7,6,5,1927
3,10,13,1956
7,5,1,1976
5,8,1,2002
10,7,3,2024
3,7,1,2060
4,7,11,2091
1,8,1,2098
9,10,2,2117
5,5,2,2147
5,6,1,2174
4,7,3,2195
6,2,7,2236
6,6,1,2260
2,8,8,2293
8,1,1,2331
9,9,1,2357
1,1,4,2386
1,9,5,2415
5,7,2,2445
5,4,14,2471
7,5,3,2512
4,7,1,2532
2,5,10,2560
10,3,15,2602
2,5,5,2643
5,3,5,2682
8,4,2,2718
2,9,3,2755
8,7,5,2796
8,9,2,2830
3,7,5,2858
3,9,6,2905
1,1,3,2933
7,8,6,2953
8,4,1,2978
1,9,2,3007
8,4,8,3027
3,8,2,3073
10,2,3,3104
3,6,8,3129
10,3,6,3152
3,10,7,3193
7,4,7,3215
9,3,4,3241
1,8,1,3280
8,1,5,3325
9,1,4,3363
1,2,5,3394
10,3,1,3422
4,9,2,3442
3,8,6,3464
3,8,1,3503
3,5,2,3524
7,2,1,3549
7,8,3,3598
1,3,6,3614
6,5,2,3636
8,1,18,3649
3,9,7,3678
1,8,7,3712
1,8,3,3765
2,9,5,3783
3,6,2,3814
9,10,1,3838
6,2,11,3862
6,1,5,3889
2,10,1,3914
5,1,5,3931
8,1,1,3963
3,7,1,3991
3,9,4,4019
2,8,1,4060
6,2,1,4090
4,9,17,4124
4,6,13,4149
3,4,2,4171
5,7,5,4196
9,3,3,4227
4,8,8,4240
1,8,13,4276
8,4,4,4299
8,2,4,4335
10,2,1,4366
8,3,2,4394
9,4,3,4423
4,7,1,4460
2,8,6,4467
6,6,2,4488
2,2,1,4502
3,4,5,4536
5,3,7,4544
4,7,1,4574
10,7,3,4609
9,9,1,4630
9,6,10,4659
6,4,7,4672
3,8,5,4717
8,9,3,4750
2,10,2,4791
5,8,4,4821
9,8,17,4834
9,2,2,4855
3,8,4,4887
3,8,3,4914
8,3,3,4947
3,3,13,4980
2,8,4,5012
1,9,8,5051
10,1,1,5073
2,8,3,5101
3,9,10,5134
3,4,6,5160
7,1,3,5185
1,1,5,5214
8,4,2,5228
8,1,1,5257
3,7,8,5302
8,3,4,5345
5,9,5,5373
2,6,11,5398
4,8,7,5437
7,5,10,5461
3,10,1,5491
4,7,1,5527
6,5,9,5552
8,7,1,5592
10,2,5,5626
10,8,7,5661
